type,text,user,ts,blocks,team,user_team,source_team,user_profile.avatar_hash,user_profile.image_72,user_profile.first_name,user_profile.real_name,user_profile.display_name,user_profile.team,user_profile.name,user_profile.is_restricted,user_profile.is_ultra_restricted
message,Your application for data exports including direct messages and private channels has been approved. <https://slack.com/help/articles/204897248-Guide-to-Slack-import-and-export-tools|Learn how to export data.>,USLACKBOT,1696784094.782699,"[{'type': 'rich_text', 'block_id': 'hjo', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Your application for data exports including direct messages and private channels has been approved. '}, {'type': 'link', 'url': 'https://slack.com/help/articles/204897248-Guide-to-Slack-import-and-export-tools', 'text': 'Learn how to export data.'}]}]}]",T05R93T7YDD,T05R93T7YDD,T05R93T7YDD,sv41d8cd98f0,https://a.slack-edge.com/80588/img/slackbot_72.png,slackbot,Slackbot,Slackbot,T05R93T7YDD,slackbot,False,False
message,Your Slack export has completed! You can download the file from <https://kentronhq.slack.com/services/export|your export page>.,USLACKBOT,1696829371.296639,"[{'type': 'rich_text', 'block_id': '0kk2', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Your Slack export has completed! You can download the file from '}, {'type': 'link', 'url': 'https://kentronhq.slack.com/services/export', 'text': 'your export page'}, {'type': 'text', 'text': '.'}]}]}]",T05R93T7YDD,T05R93T7YDD,T05R93T7YDD,sv41d8cd98f0,https://a.slack-edge.com/80588/img/slackbot_72.png,slackbot,Slackbot,Slackbot,T05R93T7YDD,slackbot,False,False
